runid	clusterid	annote	Methanothermococcus_archaeon_SAG_AD_155_C09	Methanothermococcus_archaeon_SAG_AD_155_K20	Methanothermococcus_archaeon_SAG_AD_155_M21	Methanothermococcus_archaeon_SAG_AD_155_N22	Methanothermococcus_archaeon_SAG_AD_155_E23
all_I_2.0_c_0.4_m_maxbit	1377	hypothetical protein_ga0150971_11121	fig|155862.1.peg.1153	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	778	 rnase hii_ga0150972_119982	fig|155862.1.peg.684	NONE	fig|155862.4.peg.128	NONE	fig|155862.2.peg.826
all_I_2.0_c_0.4_m_maxbit	209	 predicted aconitase subunit 1_ga0150971_11362	fig|155862.1.peg.1394	NONE	fig|155862.4.peg.696	fig|155862.5.peg.739	fig|155862.2.peg.760
all_I_2.0_c_0.4_m_maxbit	1636	hypothetical protein_ga0150975_17732	NONE	NONE	NONE	fig|155862.5.peg.639	NONE
all_I_2.0_c_0.4_m_maxbit	1067	hypothetical protein_ga0150971_10253	fig|155862.1.peg.269	NONE	NONE	NONE	fig|155862.2.peg.900
all_I_2.0_c_0.4_m_maxbit	1534	hypothetical protein_ga0150971_10449	fig|155862.1.peg.536	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	923	uncharacterized conserved protein_ga0150974_11401	fig|155862.1.peg.765	NONE	fig|155862.4.peg.223	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	302	hosphoglucosamine mutase_ga0150972_123836	fig|155862.1.peg.852	NONE	fig|155862.4.peg.420	fig|155862.5.peg.504	fig|155862.2.peg.964
all_I_2.0_c_0.4_m_maxbit	1781	hosphatidylserine decarboxylase precursor-related protein_ga0150974_117610	NONE	NONE	fig|155862.4.peg.309	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1208	bifunctional enzyme fae/hps_ga0150971_10932	fig|155862.1.peg.966	NONE	NONE	NONE	fig|155862.2.peg.790
all_I_2.0_c_0.4_m_maxbit	549	hypothetical protein_ga0150971_11238	fig|155862.1.peg.1276	NONE	NONE	fig|155862.5.peg.152	fig|155862.2.peg.664
all_I_2.0_c_0.4_m_maxbit	1000	ercc4-type nuclease_ga0150975_13881	fig|155862.1.peg.1275	NONE	NONE	fig|155862.5.peg.362	NONE
all_I_2.0_c_0.4_m_maxbit	447	 septum site-determining protein mind_ga0150975_101333	fig|155862.1.peg.1199	NONE	NONE	fig|155862.5.peg.45	fig|155862.2.peg.138
all_I_2.0_c_0.4_m_maxbit	1289	hypothetical protein_ga0150975_11001	NONE	NONE	NONE	fig|155862.5.peg.108	NONE
all_I_2.0_c_0.4_m_maxbit	690	hypothetical protein_ga0150974_120929	fig|155862.1.peg.311	NONE	fig|155862.4.peg.362	NONE	fig|155862.2.peg.240
all_I_2.0_c_0.4_m_maxbit	121	ative methanogenesis marker protein 6_ga0150975_13565	fig|155862.1.peg.1021	fig|155862.3.peg.91	NONE	fig|155862.5.peg.331	fig|155862.2.peg.290
all_I_2.0_c_0.4_m_maxbit	1548	metallo-beta-lactamase superfamily protein_ga0150975_169010	NONE	NONE	NONE	fig|155862.5.peg.618	NONE
all_I_2.0_c_0.4_m_maxbit	1382	hypothetical protein_ga0150974_101731	NONE	NONE	fig|155862.4.peg.39	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	771	8-oxo-dgtp diphosphatase_ga0150971_105217	fig|155862.1.peg.575	NONE	NONE	fig|155862.5.peg.771	fig|155862.2.peg.505
all_I_2.0_c_0.4_m_maxbit	214	udp-glucose 4-epimerase_ga0150971_10062	fig|155862.1.peg.71	fig|155862.3.peg.170;fig|155862.3.peg.37	fig|155862.4.peg.582	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1693	hypothetical protein_ga0150971_108517	fig|155862.1.peg.884	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1056	small subunit ribosomal protein s13_ga0150971_101936	fig|155862.1.peg.230	NONE	NONE	NONE	fig|155862.2.peg.744
all_I_2.0_c_0.4_m_maxbit	1527	hypothetical protein_ga0150971_10258	fig|155862.1.peg.274	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	912	cbs domain-containing protein_ga0150972_114332	fig|155862.1.peg.1099	NONE	NONE	NONE	fig|155862.2.peg.513
all_I_2.0_c_0.4_m_maxbit	295	hypothetical protein_ga0150971_10581	fig|155862.1.peg.675	NONE	fig|155862.4.peg.119	fig|155862.5.peg.61	fig|155862.2.peg.883
all_I_2.0_c_0.4_m_maxbit	1770	wbqc-like protein family protein_ga0150973_105322	NONE	fig|155862.3.peg.56	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1201	 formylmethanofuran dehydrogenase, subunit b_ga0150971_109210	fig|155862.1.peg.934	NONE	NONE	fig|155862.5.peg.374	NONE
all_I_2.0_c_0.4_m_maxbit	602	4fe-4s binding domain-containing protein_ga0150971_10424	fig|155862.1.peg.500	NONE	fig|155862.4.peg.356	NONE	fig|155862.2.peg.538
all_I_2.0_c_0.4_m_maxbit	993	hypothetical protein_ga0150972_11329	fig|155862.1.peg.1255	NONE	NONE	NONE	fig|155862.2.peg.438
all_I_2.0_c_0.4_m_maxbit	436	 orotidine-5'-phosphate decarboxylase_ga0150974_11253	fig|155862.1.peg.1045	NONE	fig|155862.4.peg.221	NONE	fig|155862.2.peg.619
all_I_2.0_c_0.4_m_maxbit	1294	s-layer protein, mj0822 family_ga0150972_120343	NONE	NONE	NONE	NONE	fig|155862.2.peg.882
all_I_2.0_c_0.4_m_maxbit	683	rna pseudouridine38-40 synthase_ga0150972_12438	fig|155862.1.peg.283	NONE	fig|155862.4.peg.13	NONE	fig|155862.2.peg.1018
all_I_2.0_c_0.4_m_maxbit	126	uroporphyrinogen-iii synthase hemd_ga0150974_11251	fig|155862.1.peg.1047	NONE	fig|155862.4.peg.910;fig|155862.4.peg.219	NONE	fig|155862.2.peg.621
all_I_2.0_c_0.4_m_maxbit	1541	hypothetical protein_ga0150974_11203	NONE	NONE	fig|155862.4.peg.215	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1439	protein of unknown function (duf2540)_ga0150971_11272	fig|155862.1.peg.1320	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	824	hypothetical protein_ga0150972_127222	fig|155862.1.peg.759	NONE	fig|155862.4.peg.883	NONE	fig|155862.2.peg.1163
all_I_2.0_c_0.4_m_maxbit	207	hypothetical protein_ga0150974_15016	fig|155862.1.peg.1377	NONE	fig|155862.4.peg.788;fig|155862.4.peg.455	NONE	fig|155862.2.peg.298
all_I_2.0_c_0.4_m_maxbit	1682	3-oxoacyl-[acyl-carrier-protein (acp)] synthase iii c terminal_ga0150974_122654	NONE	NONE	fig|155862.4.peg.426	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1113	hypothetical protein_ga0150972_12264	NONE	NONE	NONE	NONE	fig|155862.2.peg.922;fig|155862.2.peg.364
all_I_2.0_c_0.4_m_maxbit	1516	ein of unknown function duf128_ga0150971_101939	fig|155862.1.peg.232	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	905	hymidylate synthase_ga0150975_115810	NONE	NONE	fig|155862.4.peg.318	fig|155862.5.peg.134	fig|155862.2.peg.85
all_I_2.0_c_0.4_m_maxbit	348	hemerythrin_ga0150971_10688	fig|155862.1.peg.731	NONE	fig|155862.4.peg.255	fig|155862.5.peg.653	fig|155862.2.peg.1046
all_I_2.0_c_0.4_m_maxbit	1763	hypothetical protein_ga0150973_109648	NONE	fig|155862.3.peg.108	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1206	ein of unknown function (duf2341)_ga0150971_109230	fig|155862.1.peg.953	NONE	NONE	NONE	fig|155862.2.peg.885
all_I_2.0_c_0.4_m_maxbit	595	d-3-phosphoglycerate dehydrogenase_ga0150971_11308	fig|155862.1.peg.1349;fig|155862.1.peg.414	NONE	NONE	NONE	fig|155862.2.peg.14
all_I_2.0_c_0.4_m_maxbit	998	sagb-type dehydrogenase domain-containing protein_ga0150972_115947	fig|155862.1.peg.1262	NONE	NONE	NONE	fig|155862.2.peg.644
all_I_2.0_c_0.4_m_maxbit	429	arallel beta-helix repeat (two copies)_ga0150971_10411	fig|155862.1.peg.1373;fig|155862.1.peg.707;fig|155862.1.peg.496	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1287	 adenine deaminase_ga0150971_109369	fig|155862.1.peg.1030	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	672	gxgxg motif-containing protein_ga0150974_12786	fig|155862.1.peg.983	NONE	fig|155862.4.peg.507;fig|155862.4.peg.6	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	119	 cyclic pyranopterin monophosphate synthase subunit moaa_ga0150972_1026101	fig|155862.1.peg.255	NONE	fig|155862.4.peg.225	fig|155862.5.peg.672	fig|155862.2.peg.105
all_I_2.0_c_0.4_m_maxbit	1594	hypothetical protein_ga0150971_104058	fig|155862.1.peg.487	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1428	abc-type lipoprotein export system, atpase componen_ga0150971_112423	fig|155862.1.peg.1301	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	817	 dna-directed rna polymerase, subunit f_ga0150972_113720	fig|155862.1.peg.736	NONE	fig|155862.4.peg.752	NONE	fig|155862.2.peg.467
all_I_2.0_c_0.4_m_maxbit	196	 16s rrna m(2)g 1207 methyltransferase_ga0150974_119315	fig|155862.1.peg.6	NONE	fig|155862.4.peg.330	fig|155862.5.peg.105	fig|155862.2.peg.168
all_I_2.0_c_0.4_m_maxbit	1675	arginine decarboxylase, pyruvoyl-dependen_ga0150972_127217	NONE	NONE	NONE	NONE	fig|155862.2.peg.1158
all_I_2.0_c_0.4_m_maxbit	1118	hypothetical protein_ga0150972_123854	fig|155862.1.peg.443	NONE	NONE	NONE	fig|155862.2.peg.982
all_I_2.0_c_0.4_m_maxbit	1509	uncharacterized protein (duf2226)_ga0150974_14926	NONE	NONE	fig|155862.4.peg.782	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	910	dde superfamily endonuclease_ga0150971_109343	fig|155862.1.peg.1311;fig|155862.1.peg.1007	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	341	dna repair protein radb_ga0150974_122658	fig|155862.1.peg.886	NONE	fig|155862.4.peg.430	fig|155862.5.peg.750	fig|155862.2.peg.349
all_I_2.0_c_0.4_m_maxbit	1816	hypothetical protein_ga0150975_132763	NONE	NONE	NONE	fig|155862.5.peg.286	NONE
all_I_2.0_c_0.4_m_maxbit	1199	inuclear metal center protein, ybgi/sa1388 family_ga0150972_114819	fig|155862.1.peg.930	NONE	NONE	NONE	fig|155862.2.peg.562
all_I_2.0_c_0.4_m_maxbit	584	nonsense-mediated mrna decay protein 3_ga0150971_11295	fig|155862.1.peg.1332	NONE	fig|155862.4.peg.187	NONE	fig|155862.2.peg.1123
all_I_2.0_c_0.4_m_maxbit	31	2-oxoglutarate ferredoxin oxidoreductase subunit gamma_ga0150971_11247	fig|155862.1.peg.1285;fig|155862.1.peg.367	fig|155862.3.peg.107	NONE	fig|155862.5.peg.312	fig|155862.2.peg.542
all_I_2.0_c_0.4_m_maxbit	418	cbs domain-containing protein_ga0150972_104019	fig|155862.1.peg.994	NONE	fig|155862.4.peg.542	NONE	fig|155862.2.peg.198
all_I_2.0_c_0.4_m_maxbit	1340	hypothetical protein_ga0150975_184217	NONE	NONE	NONE	fig|155862.5.peg.742	NONE
all_I_2.0_c_0.4_m_maxbit	729	 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylidenea mino] imidazole-4-carboxamide isomerase_ga0150971_10735	fig|155862.1.peg.767	NONE	NONE	fig|155862.5.peg.13	fig|155862.2.peg.107
all_I_2.0_c_0.4_m_maxbit	108	rna pseudouridine13 synthase_ga0150971_109341	fig|155862.1.peg.1005	NONE	fig|155862.4.peg.760	fig|155862.5.peg.114	fig|155862.2.peg.685
all_I_2.0_c_0.4_m_maxbit	1587	 crispr-associated protein, cas1 family_ga0150971_104047	fig|155862.1.peg.476	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1421	hypothetical protein_ga0150971_10791	fig|155862.1.peg.828	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	822	hypothetical protein_ga0150971_10727	fig|155862.1.peg.755	NONE	fig|155862.4.peg.887	NONE	fig|155862.2.peg.424
all_I_2.0_c_0.4_m_maxbit	253	hypothetical protein_ga0150975_132748	fig|155862.1.peg.239	NONE	NONE	fig|155862.5.peg.271	fig|155862.2.peg.1154;fig|155862.2.peg.986
all_I_2.0_c_0.4_m_maxbit	1664	hypothetical protein_ga0150975_13621	NONE	NONE	NONE	fig|155862.5.peg.337	NONE
all_I_2.0_c_0.4_m_maxbit	1111	uncharacterized conserved protein yurz, alkylhydroperoxidase/carboxymuconolactone decarboxylase family_ga0150971_100415	fig|155862.1.peg.43	NONE	NONE	fig|155862.5.peg.158	NONE
all_I_2.0_c_0.4_m_maxbit	903	hypothetical protein_ga0150974_11932	NONE	NONE	fig|155862.4.peg.317	fig|155862.5.peg.130	fig|155862.2.peg.82
all_I_2.0_c_0.4_m_maxbit	330	hydrogenase expression/formation protein hypd_ga0150972_10295	fig|155862.1.peg.638	NONE	fig|155862.4.peg.668	fig|155862.5.peg.39	fig|155862.2.peg.131
all_I_2.0_c_0.4_m_maxbit	1809	hypothetical protein_ga0150975_118316	NONE	NONE	NONE	fig|155862.5.peg.168	NONE
all_I_2.0_c_0.4_m_maxbit	1188	energy-converting hydrogenase b subunit j_ga0150975_132760	fig|155862.1.peg.84	NONE	NONE	fig|155862.5.peg.283	NONE
all_I_2.0_c_0.4_m_maxbit	577	 nascent polypeptide associated complex nac_ga0150971_11262	fig|155862.1.peg.1314	NONE	NONE	fig|155862.5.peg.36	fig|155862.2.peg.305
all_I_2.0_c_0.4_m_maxbit	20	 nitrogen regulatory protein p-ii family_ga0150975_18088	fig|155862.1.peg.666;fig|155862.1.peg.1340	NONE	fig|155862.4.peg.195	fig|155862.5.peg.686;fig|155862.5.peg.571	fig|155862.2.peg.903
all_I_2.0_c_0.4_m_maxbit	475	 arginyl-trna synthetase_ga0150971_11079	fig|155862.1.peg.1136	NONE	fig|155862.4.peg.84	NONE	fig|155862.2.peg.430
all_I_2.0_c_0.4_m_maxbit	1333	imidazoleglycerol-phosphate dehydratase_ga0150973_102732	NONE	fig|155862.3.peg.9	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	734	rna wybutosine-synthesizing protein 2_ga0150974_103323	fig|155862.1.peg.554	NONE	fig|155862.4.peg.131	NONE	fig|155862.2.peg.227
all_I_2.0_c_0.4_m_maxbit	101	 [ssu ribosomal protein s18p]-alanine acetyltransferase_ga0150972_123834	fig|155862.1.peg.979	NONE	fig|155862.4.peg.503;fig|155862.4.peg.2	fig|155862.5.peg.563	fig|155862.2.peg.962
all_I_2.0_c_0.4_m_maxbit	1576	hypothetical protein_ga0150974_12961	NONE	NONE	fig|155862.4.peg.527	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1410	hypothetical protein_ga0150971_112210	fig|155862.1.peg.1265	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	815	hypothetical protein_ga0150972_127210	fig|155862.1.peg.722	NONE	fig|155862.4.peg.163	NONE	fig|155862.2.peg.1152
all_I_2.0_c_0.4_m_maxbit	242	 2,3-di-o-geranylgeranylglyceryl phosphate reductase_ga0150974_120922	fig|155862.1.peg.499	NONE	fig|155862.4.peg.355	fig|155862.5.peg.589	fig|155862.2.peg.537
all_I_2.0_c_0.4_m_maxbit	1721	hypothetical protein_ga0150972_10264	NONE	NONE	NONE	NONE	fig|155862.2.peg.11
all_I_2.0_c_0.4_m_maxbit	1100	cdp-l-myo-inositol myo-inositolphosphotransferase_ga0150975_13499	NONE	NONE	NONE	fig|155862.5.peg.317	fig|155862.2.peg.293
all_I_2.0_c_0.4_m_maxbit	956	arbon-monoxide dehydrogenase iron sulfur subuni_ga0150971_11067	fig|155862.1.peg.1123	NONE	NONE	NONE	fig|155862.2.peg.1023
all_I_2.0_c_0.4_m_maxbit	323	ncharacterized protein, mth1187 family_ga0150975_15577	fig|155862.1.peg.604	NONE	fig|155862.4.peg.553	fig|155862.5.peg.465	fig|155862.2.peg.264
all_I_2.0_c_0.4_m_maxbit	1814	 membrane-bound hydrogenase subunit ehbe_ga0150975_132752	NONE	NONE	NONE	fig|155862.5.peg.275	NONE
all_I_2.0_c_0.4_m_maxbit	1245	 ssu ribosomal protein s6e_ga0150972_11995	NONE	fig|155862.3.peg.151	NONE	NONE	fig|155862.2.peg.754
all_I_2.0_c_0.4_m_maxbit	582	large subunit ribosomal protein l32e_ga0150974_136511	fig|155862.1.peg.133	NONE	fig|155862.4.peg.646	NONE	fig|155862.2.peg.45
all_I_2.0_c_0.4_m_maxbit	13	 coenzyme f420-reducing hydrogenase, delta subuni_ga0150975_18429	fig|155862.1.peg.1361;fig|155862.1.peg.725	NONE	fig|155862.4.peg.261	fig|155862.5.peg.734;fig|155862.5.peg.449	fig|155862.2.peg.304;fig|155862.2.peg.277
all_I_2.0_c_0.4_m_maxbit	464	tetratricopeptide repeat-containing protein_ga0150971_10689	fig|155862.1.peg.732;fig|155862.1.peg.643	NONE	NONE	fig|155862.5.peg.545	NONE
all_I_2.0_c_0.4_m_maxbit	1322	hypothetical protein_ga0150971_109515	fig|155862.1.peg.1062	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	727	iron complex transport system substrate-binding protein_ga0150974_12844	NONE	NONE	fig|155862.4.peg.511	NONE	fig|155862.2.peg.582;fig|155862.2.peg.363
all_I_2.0_c_0.4_m_maxbit	154	4fe-4s binding domain-containing protein_ga0150975_135610	fig|155862.1.peg.829	fig|155862.3.peg.85	fig|155862.4.peg.734	fig|155862.5.peg.336	NONE
all_I_2.0_c_0.4_m_maxbit	1569	hypothetical protein_ga0150971_10399	fig|155862.1.peg.419	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1467	hypothetical protein_ga0150974_107720	NONE	NONE	fig|155862.4.peg.176	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	804	endonuclease-3_ga0150971_10592	fig|155862.1.peg.688	NONE	fig|155862.4.peg.545	NONE	fig|155862.2.peg.195
all_I_2.0_c_0.4_m_maxbit	235	small subunit ribosomal protein s3ae_ga0150972_124937	fig|155862.1.peg.168	NONE	fig|155862.4.peg.627;fig|155862.4.peg.147	NONE	fig|155862.2.peg.1120
all_I_2.0_c_0.4_m_maxbit	1726	predicted atpase, aaa+ superfamily_ga0150972_10292	NONE	NONE	NONE	NONE	fig|155862.2.peg.128
all_I_2.0_c_0.4_m_maxbit	1093	 membrane-bound hydrogenase subunit ehba_ga0150971_103415	fig|155862.1.peg.342	NONE	NONE	NONE	fig|155862.2.peg.471
all_I_2.0_c_0.4_m_maxbit	949	 membrane-bound hydrogenase subunit ehbk_ga0150975_132759	fig|155862.1.peg.85	NONE	NONE	fig|155862.5.peg.282	NONE
all_I_2.0_c_0.4_m_maxbit	376	 transcription factor e (tfe)_ga0150972_115928	fig|155862.1.peg.864	NONE	fig|155862.4.peg.410	fig|155862.5.peg.381	fig|155862.2.peg.625
all_I_2.0_c_0.4_m_maxbit	1807	hypothetical protein_ga0150974_165510	NONE	NONE	fig|155862.4.peg.919	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1234	ecorrin-6a/cobalt-precorrin-6a reductase_ga0150975_16837	NONE	NONE	NONE	fig|155862.5.peg.592	fig|155862.2.peg.534
all_I_2.0_c_0.4_m_maxbit	639	v/a-type h+-transporting atpase subunit a_ga0150971_101822	fig|155862.1.peg.178	NONE	fig|155862.4.peg.747	NONE	fig|155862.2.peg.1110
all_I_2.0_c_0.4_m_maxbit	2	h2-forming n(5),n(10)-methenyltetrahydromethanopterin dehydrogenase-related protein_ga0150974_157620	fig|155862.1.peg.1204;fig|155862.1.peg.1203;fig|155862.1.peg.1202;fig|155862.1.peg.532;fig|155862.1.peg.1201	NONE	fig|155862.4.peg.853;fig|155862.4.peg.579	NONE	fig|155862.2.peg.998;fig|155862.2.peg.929;fig|155862.2.peg.347;fig|155862.2.peg.346;fig|155862.2.peg.345;fig|155862.2.peg.325
all_I_2.0_c_0.4_m_maxbit	457	ytidylate kinase_ga0150971_11053	fig|155862.1.peg.1107	NONE	fig|155862.4.peg.293	NONE	fig|155862.2.peg.975
all_I_2.0_c_0.4_m_maxbit	1315	hypothetical protein_ga0150971_109510	fig|155862.1.peg.1057	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	716	glycosyl transferase family 2_ga0150971_103910	fig|155862.1.peg.420	NONE	NONE	fig|155862.5.peg.106	fig|155862.2.peg.169
all_I_2.0_c_0.4_m_maxbit	147	 phosphopantothenate-cysteine ligase /phosphopantothenoylcysteine decarboxylase_ga0150972_115920	fig|155862.1.peg.111	NONE	fig|155862.4.peg.38	fig|155862.5.peg.325	fig|155862.2.peg.617
all_I_2.0_c_0.4_m_maxbit	1574	hypothetical protein_ga0150975_12521	NONE	NONE	NONE	fig|155862.5.peg.192	NONE
all_I_2.0_c_0.4_m_maxbit	1456	hypothetical protein_ga0150975_101314	NONE	NONE	NONE	fig|155862.5.peg.27	NONE
all_I_2.0_c_0.4_m_maxbit	861	 ketol-acid reductoisomerase_ga0150974_11448	fig|155862.1.peg.913	NONE	fig|155862.4.peg.248	fig|155862.5.peg.156	NONE
all_I_2.0_c_0.4_m_maxbit	224	 translation elongation factor 2 (ef-2/ef-g)_ga0150971_113924	fig|155862.1.peg.1430	NONE	fig|155862.4.peg.26	fig|155862.5.peg.757	fig|155862.2.peg.1069
all_I_2.0_c_0.4_m_maxbit	1719	pbp superfamily domain-containing protein_ga0150973_106706	NONE	fig|155862.3.peg.81	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1146	hypothetical protein_ga0150971_105234	fig|155862.1.peg.591	NONE	NONE	NONE	fig|155862.2.peg.568
all_I_2.0_c_0.4_m_maxbit	938	hypothetical protein_ga0150971_109917	fig|155862.1.peg.1093	NONE	fig|155862.4.peg.41	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	369	 indole-3-glycerol phosphate synthase_ga0150972_116615	fig|155862.1.peg.790	NONE	fig|155862.4.peg.807	fig|155862.5.peg.616	fig|155862.2.peg.676
all_I_2.0_c_0.4_m_maxbit	1796	cupin domain protein_ga0150974_14211	NONE	NONE	fig|155862.4.peg.698	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1227	archaeoflavoprotein afpa_ga0150974_10775	NONE	NONE	fig|155862.4.peg.161	NONE	fig|155862.2.peg.334
all_I_2.0_c_0.4_m_maxbit	628	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5_ga0150974_15392	fig|155862.1.peg.1423	NONE	fig|155862.4.peg.801	fig|155862.5.peg.222	NONE
all_I_2.0_c_0.4_m_maxbit	59	 thiol-driven fumarate reductase, flavoprotein subuni_ga0150971_11397	fig|155862.1.peg.1413	fig|155862.3.peg.114	fig|155862.4.peg.491	fig|155862.5.peg.409	fig|155862.2.peg.1090
all_I_2.0_c_0.4_m_maxbit	462	radical sam superfamily enzyme ygiq, upf0313 family_ga0150972_124313	fig|155862.1.peg.1113	NONE	fig|155862.4.peg.218	NONE	fig|155862.2.peg.1022
all_I_2.0_c_0.4_m_maxbit	1368	hypothetical protein_ga0150971_10125	fig|155862.1.peg.114	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	709	 methionine adenosyltransferase_ga0150971_103423	fig|155862.1.peg.350	NONE	NONE	fig|155862.5.peg.565	fig|155862.2.peg.960
all_I_2.0_c_0.4_m_maxbit	136	methylated-dna-[protein]-cysteine s-methyltransferase_ga0150973_102734	fig|155862.1.peg.1079	fig|155862.3.peg.11	fig|155862.4.peg.55	NONE	fig|155862.2.peg.1001
all_I_2.0_c_0.4_m_maxbit	1631	hypothetical protein_ga0150971_10054	fig|155862.1.peg.64	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1449	hypothetical protein_ga0150974_107730	NONE	NONE	fig|155862.4.peg.186	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	850	flagellar protein flai_ga0150974_122641	fig|155862.1.peg.859	NONE	fig|155862.4.peg.414	NONE	fig|155862.2.peg.844
all_I_2.0_c_0.4_m_maxbit	281	flavorubredoxin_ga0150975_179917	fig|155862.1.peg.734	NONE	fig|155862.4.peg.253	fig|155862.5.peg.656	fig|155862.2.peg.1045
all_I_2.0_c_0.4_m_maxbit	1708	hypothetical protein_ga0150973_1029710	NONE	fig|155862.3.peg.28	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1139	 3-hexulose-6-phosphate isomerase_ga0150971_10523	fig|155862.1.peg.562	NONE	NONE	NONE	fig|155862.2.peg.330
all_I_2.0_c_0.4_m_maxbit	540	hypothetical protein_ga0150971_11225	fig|155862.1.peg.1260	NONE	fig|155862.4.peg.513	NONE	fig|155862.2.peg.201
all_I_2.0_c_0.4_m_maxbit	931	uncharacterized membrane protein spoiim, required for sporulation_ga0150974_12904	fig|155862.1.peg.107	NONE	fig|155862.4.peg.522	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	374	 hydroxymethylglutaryl-coa synthase_ga0150972_109551	fig|155862.1.peg.846	NONE	fig|155862.4.peg.427	fig|155862.5.peg.277	fig|155862.2.peg.359
all_I_2.0_c_0.4_m_maxbit	1216	multiple antibiotic resistance protein_ga0150972_1026102	NONE	NONE	NONE	fig|155862.5.peg.671	fig|155862.2.peg.106
all_I_2.0_c_0.4_m_maxbit	621	hypothetical protein_ga0150974_11022	fig|155862.1.peg.140	NONE	fig|155862.4.peg.206	NONE	fig|155862.2.peg.981
all_I_2.0_c_0.4_m_maxbit	48	4fe-4s dicluster domain-containing protein_ga0150975_105232	fig|155862.1.peg.247	NONE	fig|155862.4.peg.562	fig|155862.5.peg.715;fig|155862.5.peg.94	fig|155862.2.peg.428
all_I_2.0_c_0.4_m_maxbit	455	hypothetical protein_ga0150973_1096416	fig|155862.1.peg.842	fig|155862.3.peg.116	fig|155862.4.peg.846	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1361	eplicative dna helicase mcm_ga0150972_10263	NONE	NONE	NONE	NONE	fig|155862.2.peg.10
all_I_2.0_c_0.4_m_maxbit	762	dna-(apurinic or apyrimidinic site) lyase_ga0150972_120342	fig|155862.1.peg.548	NONE	NONE	fig|155862.5.peg.559	fig|155862.2.peg.881
all_I_2.0_c_0.4_m_maxbit	129	 anthranilate synthase, component i_ga0150974_12905	fig|155862.1.peg.106	NONE	fig|155862.4.peg.523	fig|155862.5.peg.530	fig|155862.2.peg.1135
all_I_2.0_c_0.4_m_maxbit	1620	ribonuclease hii_ga0150971_100433	fig|155862.1.peg.60	NONE	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1051	hypothetical protein_ga0150973_1107217	fig|155862.1.peg.20	fig|155862.3.peg.133	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	1454	hypothetical protein_ga0150973_106701	NONE	fig|155862.3.peg.76	NONE	NONE	NONE
all_I_2.0_c_0.4_m_maxbit	843	acetyl-coa c-acetyltransferase_ga0150974_122653	fig|155862.1.peg.847	NONE	fig|155862.4.peg.425	NONE	fig|155862.2.peg.358
all_I_2.0_c_0.4_m_maxbit	286	utp--glucose-1-phosphate uridylyltransferase_ga0150972_104013	NONE	fig|155862.3.peg.168	NONE	fig|155862.5.peg.603;fig|155862.5.peg.400	fig|155862.2.peg.192
